"UT","PT","TI","AF","CR","AU","SO","LA","DT","AB","RP","NR","TC","Z9","U1","U2","PU","PI","PA","SN","J9","JI","PD","PY","VL","IS","BP","EP","DI","PG","WC","SC","GA","DE","ID","C1","EM","AR","FU","FX","PM","EI","SI","BE","SE","CT","CY","CL","SP","HO","BN","PN","RI","OI","SU","GP","MA","BA","BF","numAuthors"
"WOS:A1980KS77600039","J","'ENFER DES ZOMBIES' - FULCI,L","MERIGEAU, P","FULCI L, ENFER DES ZOMBIES","MERIGEAU, P","REVUE DU CINEMA","French","Film Review","","","1","0","0","0","0","LIGUE FRANCAISE ENSEIGNEMENT EDUC PERMANENTE","PARIS 07","3 RUE RECAMIER, 75341 PARIS 07, FRANCE","0019-2635","REV CINEMA-IMAGE SON","","","1980","","349","61","61","","1","Film, Radio, Television","Film, Radio & Television","KS776","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000257535300005","J","Some kind of virus: The zombie as body and as trope","Webb, Jen|Byrnand, Sam","Bakhtin Michael, 1981, DIALOGIC IMAGINATION|Baudrillard Jean, 1987, FORGET FOUCAULT|Bauman Z, 1998, GLOBALIZATION HUMAN|Chalmers D. J., 1996, CONSCIOUS MIND SEARC|Cytowic R. E., 1993, MAN WHO TASTED SHAPE|De Certeau M., 1986, HETEROLOGIES DISCOUR|DECERTEAU M, 1984, PRACTICE EVERYDAY LI|Deleuze G., 1983, ANTIOEDIPUS CAPITALI|Dennett Daniel, 1995, J CONSCIOUSNESS STUD, V2, P322|Engels Friedrich, 1977, SELECTED WRITINGS|FREUD S, 1966, STANDARD EDITION COM, V22, P3|Freud Sigmund, 1957, STANDARD EDITION COM, V14, P111|FROW J, 1999, RES PUBLICA|Frow John, 1997, TIME COMMODITY CULTU|Hardt M, 2000, EMPIRE|Jameson Fredric, 1992, GEOPOLITICAL AESTHET|LACAN J, 1992, ETHICS PSYCHOANALYST|Marx K, 1970, GERMAN IDEOLOGY|Polanyi M., 1975, MEANING|Sartre Jean-Paul, 1963, WRETCHED EARTH, p[7, 13]|Shaviro Steven, 1993, CINEMATIC BODY|Stafford Barbara Maria, 1998, GOOD LOOKING ESSAYS|SWALWELL M, 2002, FILM PHYSL, V6|Tabbi Joseph, 2002, COGNITIVE FICTIONS|Tsur R., 2002, COGNITIVE STYLISTICS, P279|Varela FJ, 1980, AUTOPOIESIS COGNITIO|WALLERSTEIN I, 2000, GLOBALIZATION READER, P233","Webb, J|Byrnand, S","BODY & SOCIETY","English","Article","The idea of zombie emerges in a surprising number of disciplines, beyond Holly-wood film or the sci-fi novel. It is mobilized in discussions of power relations; the repressed part of the self or society; the 'other', and especially the other within; global capitalism; and the cognitive processes of contemporary human beings. We suggest that it is feasible to read the long-term and sustained attention paid to zombies in both academic and popular culture as a response to contemporary thought about what it means to be human because of three central characteristics that emerge consistently in zombie texts. First, they are always 'all dark inside', lacking ethical or affective judgements. Next, they are unrelentingly, unquenchably and indiscriminately hungry. Finally, they are simultaneously like and unlike humans: 'people without minds', who lack individual cognitive functioning and hence identity. As such, they are useful spaces in which to reflect on being human in contemporary society. To discuss these issues, we draw on a number of zombie novels and movies produced over recent decades, to explore the ways in which they allegorize the effects of the contemporary arrangements of Western societies, and the production of the body as trope.","Webb, J (reprint author), Univ Canberra, Canberra, ACT 2601, Australia.","27","4","4","3","12","SAGE PUBLICATIONS LTD","LONDON","1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND","1357-034X","BODY SOC","Body Soc.","JUN","2008","14","2","83","+","10.1177/1357034XO8090699","18","Sociology","Sociology","324RI","alienation; body; capitalism; consciousness; neoliberalism","","[Webb, Jen] Univ Canberra, Canberra, ACT 2601, Australia.","","","","","","","","","","","","","","","","","","","","","","","","2"
"WOS:000306146000019","J","Perception and Basic Beliefs: Zombies, Modules, and the Problem of the|External World","McNeill, William E. S.","Lyons Jack, 2009, PERCEPTION BASIC BEL","McNeill, WES","MIND","English","Book Review","","McNeill, WES (reprint author), Univ York, Dept Philosophy, York YO10 5DD, N Yorkshire, England.","1","0","0","0","3","OXFORD UNIV PRESS","OXFORD","GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND","0026-4423","MIND","Mind","OCT","2011","120","480","1271","1276","10.1093/mind/fzs012","6","Philosophy","Philosophy","970PY","","","[McNeill, William E. S.] Univ York, Dept Philosophy, York YO10 5DD, N Yorkshire, England.","wesmcneill@gmail.com","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000314373000013","J","Death in Life: a Zombie Waitress and Her Boss Called ""Corporate""","D'Amore, Niki","Borsch-Jakobsona, 1991, LACAN ABSOLUTNI GOSP","D'Amore, N","FILOZOFSKI VESTNIK","Slovene","Article","Engaging an array of theoretical traditions including feminist writing on bodies, anthropological perspectives on possession trances, and the masterful psychoanalytic concepts of Freud and Lacan this article links reflections on dissociative ""pathology"" with the everyday realities of life under corporate capitalism, especially as they play out in the service industry. It examines serving as walking death. First the context in which we find the animated corpse is elaborated; then the conditions of its production and its practical and theoretical significance are 'explored. I argue that serving customers at a corporate chain effects death in life in one of two ways: the death of oneself absent in an entranced automatism a self identified with a corporate agenda, often lost as the body rises to the surface or the hyper-happy death of one's honest connection with a body whose cues are ignored and senses converted as it is transcended by a mind defined by the corporation as right.","D'Amore, N (reprint author), Univ Toronto, Toronto, ON M5S 1A1, Canada.","1","0","0","1","1","ZRC PUBLISHING","LJUBLJANA","PO BOX 306, LJUBLJANA SI-1001, SLOVENIA","0353-4510","FILOZ VESTN","Filoz. Vestn.","","2012","33","3","135","+","","13","Philosophy","Philosophy","082DR","dissociation; psychoanalyses; corporate capitalism; women's work;|service industry","","Univ Toronto, Toronto, ON M5S 1A1, Canada.","","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000342482800210","J","The Zombie Book: The Encyclopedia of the Living Dead","Jones, Mary E.","REDFERN N, 2014, ZOMBIE BOOK ENCY LIV","Jones, ME","LIBRARY JOURNAL","English","Book Review","","Jones, ME (reprint author), Los Angeles Publ Lib, Los Angeles, CA 90071 USA.","1","0","0","1","4","REED BUSINESS INFORMATION","NEW YORK","360 PARK AVENUE SOUTH, NEW YORK, NY 10010 USA","0363-0277","LIBR J","Libr. J.","OCT 1","2014","139","16","110","111","","2","Information Science & Library Science","Information Science & Library Science","AQ0OO","","","[Jones, Mary E.] Los Angeles Publ Lib, Los Angeles, CA 90071 USA.","","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:A1990CU96400003","J","TETRODOTOXIN IN ZOMBIE POWDER","KAO, CY|YASUMOTO, T","YASUMOTO T, 1985, AGR BIOL CHEM TOKYO, V49, P3077|BENEDEK C, 1989, TOXICON, V27, P473, DOI 10.1016/0041-0101(89)90210-9|BOOTH W, 1988, SCIENCE, V240, P274, DOI 10.1126/science.3353722|COUSTEAU J, 1985, HAITI WATERS SORROW|DAVIO SR, 1984, ANAL BIOCHEM, V141, P199, DOI 10.1016/0003-2697(84)90446-9|DAVIS EW, 1983, J ETHNOPHARMACOL, V9, P85, DOI 10.1016/0378-8741(83)90029-6|DAVIS EW, 1988, PASSAGE DARKNESS|DAVIS EW, 1985, SERPENT RAINBOW|MOSHER HS, 1986, ANN NY ACAD SCI, V479, P32, DOI 10.1111/j.1749-6632.1986.tb15559.x|PRESSE M, 1987, AM SCI, V75, P412|SKRABANEK P, 1988, LANCET, V2, P826|TSUDA K, 1964, CHEM PHARM BULL, V12, P1357|YASUMOTO T, 1986, TOXICON, V24, P747, DOI 10.1016/0041-0101(86)90098-X","KAO, CY|YASUMOTO, T","TOXICON","English","Letter","","KAO, CY (reprint author), SUNY DOWNSTATE MED CTR,DEPT PHARMACOL,BROOKLYN,NY 11203, USA.","13","2","3","2","8","PERGAMON-ELSEVIER SCIENCE LTD","OXFORD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND OX5 1GB","0041-0101","TOXICON","Toxicon","","1990","28","2","129","132","10.1016/0041-0101(90)90330-A","4","Pharmacology & Pharmacy; Toxicology","Pharmacology & Pharmacy; Toxicology","CU964","","","TOHOKU UNIV,FAC AGR,SENDAI,MIYAGI 980,JAPAN.","","","","","2339427","","","","","","","","","","","","","","","","","","","2"
"WOS:000349902500048","S","Zombie-Cookies: Case Studies and Mitigation","Soerensen, Ove","Ayenson M., 2011, SOCIAL SCI RES NETWO|BODA K, 2012, INFORM SECURITY TECH, V7161, P31|Eckersley P, 2010, LECT NOTES COMPUT SC, V6205, P1, DOI 10.1007/978-3-642-14527-8_1|Fielding R., 1999, HYPERTEXT TRANSFER P|Jackson C., 2006, P 15 INT C WORLD WID, P737|Jang D., 2010, P 17 ACM C COMP COMM, P270, DOI 10.1145/1866307.1866339|Jensen Carlos, 2007, P 3 S US PRIV SEC PI, P29, DOI 10.1145/1280680.1280686|Krishnamurthy B., 2009, P 18 INT C WORLD WID, P541, DOI 10.1145/1526709.1526782|Krishnamurthy B., 2011, P WEB 2 0 SEC PRIV W|Roesner F., 2012, P 9 USENIX C NETW SY, P12|Soltani A, 2010, AAAI SPRING S INT IN|Sorensen O., 2013, SELF DESTRUCTING COO","Sorensen, O","2013 8TH INTERNATIONAL CONFERENCE FOR INTERNET TECHNOLOGY AND SECURED|TRANSACTIONS (ICITST)","English","Proceedings Paper","Putting the user in charge of their online identity is a necessary precondition for privacy on the web. This requires the ability to manage identifying information that remote parties store in data repositories on the user's device. We performed a crawl of thousands of popular websites with the intention of assessing the prevalence of various problematic patterns of client-side data storage. The focus of this paper is on techniques that make use of the browser cache, especially when they impede active identity management by the user. From these results, we derive a novel privacy-enhancing policy for client-side data storage - self-destructing identifiers - improving the current defacto standard. This policy has already seen some adoption in practice in the form of a Firefox add-on that we developed as a proof of concept.","Sorensen, O (reprint author), Univ Kiel, Dept Comp Sci, Kiel, Germany.","12","1","1","0","0","IEEE","NEW YORK","345 E 47TH ST, NEW YORK, NY 10017 USA","2164-7046","INT CONF INTERNET","","","2013","","","321","326","","6","Computer Science, Theory & Methods; Engineering, Electrical & Electronic","Computer Science; Engineering","BC1AN","Privacy; Cookies; Cache; Tracking","","Univ Kiel, Dept Comp Sci, Kiel, Germany.","ove@is.informatik.uni-kiel.de","","","","","","","","International Conference for Internet Technology and Secured|Transactions","8th International Conference for Internet Technology and Secured|Transactions (ICITST)","DEC 09-12, 2013","London, UNITED KINGDOM","","","978-1-908320-20-9","","","","","IEEE","","","","1"
"WOS:000344668000006","J","Eating Minds: fantasizing undead, becoming zombie in performance","Lawson, Jenny","Baker S., 2013, ARTIST ANIMAL|Deleuze G, 2004, 1000 PLATEAUS CAPITA|Govan Emma, 1999, PERFORMANCE RES COOK, V4, P31, DOI [10.1080/13528165.1999.10871640, DOI 10.1080/13528165.1999.10871640]|Kristeva J., 1982, POWERS HORROR ESSAY|Leverette Marc, 2008, ZOMBIE CULTURE AUTOP, P185|MacCormack Patricia, 2008, ZOMBIE CULTURE AUTOP, P87|Parasecoli F, 2008, BITE ME FOOD POPULAR|Patterson Natasha, 2008, ZOMBIE CULTURE AUTOP, P103|Probyn E, 2000, CARNAL APPETITES FOO|Spooner Catherine, 2006, CONT GOTHIC","Lawson, J","STUDIES IN THEATRE AND PERFORMANCE","English","Article","Popular culture has developed an insatiable appetite for all things culinary and undead. Food and zombie studies, as distinct disciplines and areas of practice, intersect at the point of the mouth and via the act of eating. This article examines how food can be used to access the zombie in performance as a means to reconfigure the eating body. Through the discussion of a practice-as-research project that explored the eating zombie body through fantasy and food in performance, it proposes that new instances and representations of eating, feeding and their associated practices can be found in the image of the devouring undead. Deploying the zombie tropes of transformation and infection/affectation alongside Deleuze and Guattari's notion of becoming, it is argued that the eating body in performance can lead to aesthetic zombification - that is, the constructed act of fantasizing, playing and becoming zombie.","Lawson, J (reprint author), Univ Leeds, Sch Performance & Cultural Ind, Leeds, W Yorkshire, England.","10","0","0","0","0","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","ABINGDON","4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXFORDSHIRE, ENGLAND","1468-2761","STUD THEATR PERFORM","Stud. Theatr. Perform.","SEP 2","2014","34","3","236","243","10.1080/14682761.2014.967021","8","Theater","Theater","AT1BK","eating; performance; food; zombies; becoming; bodies","","Univ Leeds, Sch Performance & Cultural Ind, Leeds, W Yorkshire, England.","pcujl@leeds.ac.uk","","","","","2040-0616","SI","","","","","","","","","","","","","","","","","1"
"WOS:000245978900008","J","On the conditional analysis of phenomenal concepts","Alter, Torin","ALTER T, IN PRESS CASE QUALIA|Alter T, 1998, PHILOS STUD, V90, P35, DOI 10.1023/A:1004290020847|BLOCK N, 1995, BEHAV BRAIN SCI, V18, P227|Armstrong D, 1968, MAT THEORY MIND|Block N., 1980, READINGS PHILOS PSYC, V1, P268|Braddon-Mitchell D, 2003, J PHILOS, V100, P111|Campbell K., 1970, BODY MIND|Chalmers D. J., 2002, PHILOS MIND CLASSICA, P247|Chalmers D. J., 1996, CONSCIOUS MIND SEARC|Chalmers David, 2003, CONSCIOUSNESS NEW PH, P220|Chalmers David J., 2002, CONCEIVABILITY POSSI, P145|Churchland P.M., 1988, MATTER CONSCIOUSNESS|Davidson D, 1987, P ADDRESSES AM PHILO, DOI DOI 10.2307/3131782|DENNETT D, 2006, IN PRESS PHENOMENAL|Dretske F., 1995, NATURALIZING MIND|FRANK J, 1982, PHILOS Q, V32, P127|FRANK J, 1998, METAPHYSICS ETHICS D|Hawthorne J, 2002, PHILOS STUD, V109, P17, DOI 10.1023/A:1015731311853|KIRK R, 1974, ARISTOTELIAN SOC S, V48, P135|KRIPKE S, 1972, SEMANTICS NATURAL LA|Lewis D., 1972, AUSTRALAS J PHILOS, V50, P249, DOI 10.1080/00048407212341301|Loar B., 1997, NATURE CONSCIOUSNESS, P597|Papineau D., 2002, THINKING CONSCIOUSNE|Stalnaker R., 2002, CONCEIVABILITY POSSI, P385|Tye M., 2000, CONSCIOUSNESS COLOR","Alter, T","PHILOSOPHICAL STUDIES","English","Article","Zombies make trouble for physicalism. Intuitively, they seem conceivable, and many take this to support their metaphysical possibility - a result that, most agree, would refute physicalism. John Hawthorne (2002) [Philosophical Studies 109, 17-52] and David Braddon-Mitchell (2003) [The Journal of Philosophy 100, 111-135] have developed a novel response to this argument: phenomenal concepts have a conditional structure - they refer to non-physical states if such states exist and otherwise to physical states - and this explains the zombie intuition. I argue that this strategy fails. The considerations Hawthorne and Braddon-Mitchell adduce in support of their analysis in fact do no such thing. Further, their main argument for the analysis is self-defeating: exactly similar reasoning would undermine the view it is meant to establish. Finally, on closer inspection the conditional analysis is incompatible with the zombie intuition. Thus, not only is the analysis incapable of explaining the intuition: the intuition's plausibility indicates that the analysis is incorrect. I also suggest that the allure of the conditional-analysis strategy may derive from a questionable view about what explaining the intuition would require.","Alter, T (reprint author), Univ Alabama, Dept Philosophy, 336 Ten Hoor Hall, Tuscaloosa, AL 35487 USA.","25","4","4","0","2","SPRINGER","DORDRECHT","VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","0031-8116","PHILOS STUD","Philos. Stud.","MAY","2007","134","2","235","253","10.1007/s11098-005-1485-4","19","Philosophy","Philosophy","160XX","","","Univ Alabama, Dept Philosophy, Tuscaloosa, AL 35487 USA.","talter@bama.ua.edu","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000359092700002","J","Unravelling the diversity behind the Ophiocordyceps unilateralis|(Ophiocordycipitaceae) complex: Three new species of zombie-ant fungi|from the Brazilian Amazon","Araujo, Joao P. M.|Evans, Harry C.|Geiser, David M.|Mackay, William P.|Hughes, David P.","Andrade C. F. S., 1980, ACTA AMAZONICA, V10, P671|Underwood EC, 2006, BIOL CONSERV, V132, P166, DOI 10.1016/j.biocon.2006.03.022|TAMURA K, 1993, MOL BIOL EVOL, V10, P512|VILGALYS R, 1994, P NATL ACAD SCI USA, V91, P4599, DOI 10.1073/pnas.91.10.4599|EVANS HC, 1982, T BRIT MYCOL SOC, V79, P431|Sung GH, 2007, STUD MYCOL, P5, DOI 10.3114/sim.2007.57.01|Luangsa-Ard JJ, 2011, FUNGAL BIOL-UK, V115, P608, DOI 10.1016/j.funbio.2011.03.002|Kepler RM, 2011, MYCOSCIENCE, V52, P39, DOI 10.1007/s10267-010-0072-5|Kobmoo N, 2012, MOL ECOL, V21, P3022, DOI 10.1111/j.1365-294X.2012.05574.x|Tamura K, 2011, MOL BIOL EVOL, V28, P2731, DOI 10.1093/molbev/msr121|Araujo J. P. M., 2014, DIVERSITY ENTOMOPATH|Dawkins R, 1982, EXTENDED PHENOTYPE|de Bekker C, 2014, BMC EVOL BIOL, V14, DOI 10.1186/s12862-014-0166-3|Evans H.C., 1988, P149|Evans H. C., 2001, TRICHOMYCETES OTHER, P119|Evans H. C., 1988, INSECT FUNGUS INTERA, P205|EVANS HC, 1974, J APPL ECOL, V11, P37, DOI 10.2307/2402003|Evans HC, 2011, PLOS ONE, V6, DOI 10.1371/journal.pone.0017024|EVANS HC, 1984, T BRIT MYCOL SOC, V82, P127|FITTKAU E J, 1973, Biotropica, V5, P2, DOI 10.2307/2989676|KOBAYASI Y., 1941, Science Reports of the Tokyo Bunrika Daigaku, V5, P53|MAINS EB, 1958, MYCOLOGIA, V50, P169, DOI 10.2307/3756193|PETCH T., 1931, Transactions of the British Mycological Society, V16, P55|Quandt C Alisha, 2014, IMA Fungus, V5, P121, DOI 10.5598/imafungus.2014.05.01.12|Robert V., 2005, MYCOBANK ENGINE RELA|SAMSON RA, 1982, P K NED AKAD C BIOL, V85, P589|Tulasne C., 1865, SELECTA FUNGORUM CAR|White TJ, 1990, PCR PROTOCOLS GUIDE, V18, P315, DOI DOI 10.1016/B978-0-12-372180-8.50042-1|WILSON E. O., 2009, SUPERORGANISM BEAUTY","Araujo, JPM|Evans, HC|Geiser, DM|Mackay, WP|Hughes, DP","PHYTOTAXA","English","Article","In tropical forests, one of the most commonly encountered relationships between parasites and insects is that between the fungus Ophiocordyceps (Ophiocordycipitaceae, Hypocreales, Ascomycota) and ants, especially within the tribe Camponotini. Here, we describe three newly discovered host-specific species, Ophiocordyceps camponoti-atricipis, O. camponoti-bispinosi and O. camponoti-indiani, on Camponotus ants from the central Amazonian region of Brazil, which can readily be separated using morphological traits, in particular the shape and behavior of the ascospores. DNA sequence data support inclusion of these species within the Ophiocordyceps unilateralis complex.","Araujo, JPM (reprint author), Penn State Univ, Dept Biol, University Pk, PA 16802 USA.","29","0","0","31","31","MAGNOLIA PRESS","AUCKLAND","PO BOX 41383, AUCKLAND, ST LUKES 1030, NEW ZEALAND","1179-3155","PHYTOTAXA","Phytotaxa","JUL 24","2015","220","3","224","238","","15","Plant Sciences","Plant Sciences","CO3WU","","TROPICAL FOREST ECOSYSTEMS; CORDYCEPS; FORMICIDAE; GHANA; DNA","[Araujo, Joao P. M.; Hughes, David P.] Penn State Univ, Dept Biol, University Pk, PA 16802 USA.|[Evans, Harry C.] CAB Int, E UK, Egham, Surrey, England.|[Geiser, David M.] Penn State Univ, Dept Plant Pathol, University Pk, PA 16802 USA.|[Mackay, William P.] Univ Texas El Paso, Dept Biol Sci, El Paso, TX 79968 USA.|[Hughes, David P.] Penn State Univ, Dept Entomol, University Pk, PA 16802 USA.","joaofungo@gmail.com; dhughes@psu.edu","","CNPq; Anavilhanas National Park/ICMBio; Instituto IPE; Programa de Areas|Protegidas na Amazonia/MMA","We wish to thank Fabricio Baccaro (UFAM), Ricardo Braga-Neto (INPA) and|Carlos Nogueira (INPA) for assistance in the field and INPA for the|logistic help. Our special thanks to Marcio Oliveira and Thiago Mahlmann|for the assistance with the permissions at INPA Entomological|Collection, John Cantolina for the help with microscopy. Robert Weingart|Barreto (UFV) for the support in this project. We are also very grateful|to Priscila Santos (Parque Nacional de Anavilhanas), Benjamin da Luz|(Estacao Ecologica de Maraca) and Antonio Lisboa (Parque Nacional do|Virua) to help with support offered for the fieldtrips. This research|was supported by CNPq (Science without borders scholarship granted to|JPMA) and funds from Anavilhanas National Park/ICMBio and Programa de|Areas Protegidas na Amazonia/MMA with partnership with Instituto IPE|granted to JPMA.","","1179-3163","","","","","","","","","","","","","","","","","","5"
"WOS:000326252500011","J","THE LORDS OF SALEM Rob Zombie","Calzoni, Giacomo","ZOMBIE R, 2012, STREGHE SALEM","Calzoni, G","CINEFORUM","Italian","Film Review","","","1","0","0","0","0","FEDERAZIONE ITALIANA CINEFORUM","BERGAMO","VIA PASCOLI 3, 24100 BERGAMO, ITALY","0009-7039","CINEFORUM","Cineforum","JUL","2013","53","6","37","39","","3","Film, Radio, Television","Film, Radio & Television","242OS","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"WOS:000354750300001","J","An Evolutionary Classification of Genomic Function","Graur, Dan|Zheng, Yichen|Azevedo, Ricardo B. R.","Nobrega MA, 2004, NATURE, V431, P988, DOI 10.1038/nature03022|BROSIUS J, 1992, P NATL ACAD SCI USA, V89, P10706, DOI 10.1073/pnas.89.22.10706|Vitti JJ, 2013, ANNU REV GENET, V47, P97, DOI 10.1146/annurev-genet-111212-133526|Nielsen R, 2005, ANNU REV GENET, V39, P197, DOI 10.1146/annurev.genet.39.073003.112420|OHTA T, 1973, NATURE, V246, P96, DOI 10.1038/246096a0|Eddy SR, 2012, CURR BIOL, V22, pR898, DOI 10.1016/j.cub.2012.10.002|Graur D, 2013, GENOME BIOL EVOL, V5, P578, DOI 10.1093/gbe/evt028|Niu DK, 2013, BIOCHEM BIOPH RES CO, V430, P1340, DOI 10.1016/j.bbrc.2012.12.074|Kellis M, 2014, P NATL ACAD SCI USA, V111, P6131, DOI 10.1073/pnas.1318948111|Doolittle WF, 2013, P NATL ACAD SCI USA, V110, P5294, DOI 10.1073/pnas.1221376110|CAVALIERSMITH T, 1978, J CELL SCI, V34, P247|Chen YH, 2003, SCIENCE, V299, P251, DOI 10.1126/science.1077771|Brenner S, 1998, CURR BIOL, V8, pR669, DOI 10.1016/S0960-9822(98)70427-0|MILLIKAN RG, 1989, PHILOS SCI, V56, P288, DOI 10.1086/289488|OHNO S, 1972, Brookhaven Symposia in Biology, V23, P366|Makalowski W, 2003, SCIENCE, V300, P1246, DOI 10.1126/science.1085690|Cho JH, 2011, GASTROENTEROLOGY, V140, P1704, DOI 10.1053/j.gastro.2011.02.046|Brunet TDP, 2014, P NATL ACAD SCI USA, V111, pE3365, DOI 10.1073/pnas.1409762111|Ehret CF, 1963, J ULTRASTRUCT RES S6, V23, P1|Huneman P, 2013, FUNCTIONS SELECTION|Hurst LD, 2013, BMC BIOL, V11, DOI 10.1186/1741-7007-11-58|Kolata G, 2010, NY TIMES, pA1|Krams SM, 2013, AM J TRANSPLANT, V13, P245, DOI 10.1111/ajt.12171|Mehta G, 2013, HEPATOLOGY, V57, P2532, DOI 10.1002/hep.26449|Neander K., 2002, FUNCTIONS NEW ESSAYS, P390|NEANDER K, 1991, PHILOS SCI, V58, P168, DOI 10.1086/289610|Palazzo AF, 2014, PLOS GENET, V10, DOI 10.1371/journal.pgen.1004351|Sundaram V, 2014, GENOME RES, V24, P1963, DOI 10.1101/gr.168872.113|Dunham I, 2012, NATURE, V489, P57, DOI 10.1038/nature11247|Wen YZ, 2012, RNA BIOL, V9, P27, DOI 10.4161/rna.9.1.18277","Graur, D|Zheng, YC|Azevedo, RBR","GENOME BIOLOGY AND EVOLUTION","English","Article","The pronouncements of the ENCODE Project Consortium regarding ""junk DNA"" exposed the need for an evolutionary classification of genomic elements according to their selected-effect function. In the classification scheme presented here, we divide the genome into ""functional DNA,"" that is, DNA sequences that have a selected-effect function, and ""rubbish DNA,"" that is, sequences that do not. Functional DNA is further subdivided into ""literal DNA"" and ""indifferent DNA."" In literal DNA, the order of nucleotides is under selection; in indifferent DNA, only the presence or absence of the sequence is under selection. Rubbish DNA is further subdivided into ""junk DNA"" and ""garbage DNA."" Junk DNA neither contributes to nor detracts from the fitness of the organism and, hence, evolves under selective neutrality. Garbage DNA, on the other hand, decreases the fitness of its carriers. Garbage DNA exists in the genome only because natural selection is neither omnipotent nor instantaneous. Each of these four functional categories can be 1) transcribed and translated, 2) transcribed but not translated, or 3) not transcribed. The affiliation of a DNA segment to a particular functional category may change during evolution: Functional DNA may become junk DNA, junk DNA may become garbage DNA, rubbish DNA may become functional DNA, and so on; however, determining the functionality or nonfunctionality of a genomic sequence must be based on its present status rather than on its potential to change (or not to change) in the future. Changes in functional affiliation are divided into pseudogenes, Lazarus DNA, zombie DNA, and Jekyll-to-Hyde DNA.","Graur, D (reprint author), Univ Houston, Dept Biol & Biochem, Houston, TX 77004 USA.","30","3","4","14","16","OXFORD UNIV PRESS","OXFORD","GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND","1759-6653","GENOME BIOL EVOL","Genome Biol. Evol.","MAR","2015","7","3","642","645","10.1093/gbe/evv021","4","Evolutionary Biology; Genetics & Heredity","Evolutionary Biology; Genetics & Heredity","CI4UW","Functional DNA; literal DNA; indifferent DNA; rubbish DNA; junk DNA;|garbage DNA; pseudogene; Lazarus DNA; zombie DNA; Jekyll-to-Hyde DNA","C-VALUE PARADOX; JUNK DNA; NATURAL-SELECTION; ENCODE; ELEMENTS; DEFENSE","[Graur, Dan; Zheng, Yichen; Azevedo, Ricardo B. R.] Univ Houston, Dept Biol & Biochem, Houston, TX 77004 USA.","dgraur@uh.edu","","National Science Foundation [1354952]; NIH","R.B.R.A. was supported by a grant from the National Science Foundation|(1354952). D.G. wishes to express his awe and reverence at Eric D.|Green's pioneering status as the first self-awarder and self-awardee of|NIH grants.","25635041","","","","","","","","","","","","","","","","","","","3"
"WOS:000320388800008","J","""The Better to Eat You[r Brains] With, My Dear"": Sex, Violence, and|Little Red Riding Hood's Zombie BBQ as Fairy Tale Recovery Project","Keebaugh, Cari","[Anonymous], 2008, LITTLE RED RIDING HO|[Anonymous], 1940, TIME MAGAZINE|Beckett Sandra, 2008, LITTLE RED RIDING HO|Bettelheim B., 1977, USES ENCHANTMENT MEA|Bishop Kyle, 2009, J POPULAR FILM TELEV, V37, P16|Boelderl Artur, 1995, J PSYCHOHISTORY, V23, P51|Delarue Paul, 1956, BORZOI BOOK FRENCH F|Gross Doug, 2009, CNN TURNER BROA 1002|Moruno Julio, 2009, E COMMUNICATION 1102|Ockerbloom John Mark, 2009, ONLINE BOOKS PAGE|Orenstein Catherine, 2004, MS MAGAZINE      SUM|Orenstein Catherine, 2002, LITTLE RED RIDING HO|Pulliam June, 2007, ICONS HORROR SUPERNA, V2|Ross Douthat, 2008, ATLANTIC MONTHLY, V301, P52|Tatar M, 1992, THEIR HEADS FAIRY TA|Tatar Maria, 2003, HARD FACTS GRIMMS FA|Zipes Jack, 1983, TRIALS TRIBULATIONS|Zipes Jack, 2002, STICKS STONES TROUBL","Keebaugh, C","JOURNAL OF POPULAR CULTURE","English","Article","","Keebaugh, C (reprint author), North Shore Community Coll, Danvers, MA USA.","18","0","0","3","13","WILEY-BLACKWELL","HOBOKEN","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","0022-3840","J POP CULT","J. Pop. Cult.","JUN","2013","46","3","589","603","10.1111/jpcu.12039","15","Humanities, Multidisciplinary; Cultural Studies","Arts & Humanities - Other Topics; Cultural Studies","164DJ","","","North Shore Community Coll, Danvers, MA USA.","","","","","","","","","","","","","","","","","","","","","","","","1"
